invoice_id,line_id,jurisdiction,category,counterparty_type,amount,vendor_master_tax_code,correct_tax_code,note
INV-1029,29,India,195 - Foreign remittance (no treaty relief),foreign_nonresident,11933.18,India-195,India-195,"Royalty payment to non-resident licensor, no TRC on file"
INV-1030,30,India,195 - Foreign remittance (no treaty relief),foreign_nonresident,57360.62,,India-195,"Royalty payment to non-resident licensor, no TRC on file"
INV-1031,31,US-CA,State base rate,company,213901.77,US-CA-State_base_rate,US-CA-State_base_rate,SaaS subscription — nexus established
INV-1032,32,US-CA,State base rate,company,216687.67,US-CA-State_base_rate,US-CA-State_base_rate,SaaS subscription — nexus established
INV-1033,33,US-CA,State base rate,company,95341.49,EU-FR-Standard,US-CA-State_base_rate,SaaS subscription — nexus established
INV-1034,34,US-NY,State base rate,company,41082.2,US-NY-State_base_rate,US-NY-State_base_rate,Office equipment purchase
INV-1035,35,US-NY,State base rate,company,89140.04,US-NY-State_base_rate,US-NY-State_base_rate,Office equipment purchase
INV-1036,36,US-NY,State base rate,company,167708.71,,US-NY-State_base_rate,Office equipment purchase
INV-1037,37,US-IL,State base rate,company,133767.9,US-IL-State_base_rate,US-IL-State_base_rate,Marketing services vendor
INV-1038,38,US-IL,State base rate,company,61580.33,US-IL-State_base_rate,US-IL-State_base_rate,Marketing services vendor
INV-1039,39,US-IL,State base rate,company,115833.92,,US-IL-State_base_rate,Marketing services vendor
INV-1040,40,US-TX,State base rate,company,171311.26,US-TX-State_base_rate,US-TX-State_base_rate,"Hardware purchase, in-state vendor"
INV-1041,41,US-TX,State base rate,company,210791.55,US-TX-State_base_rate,US-TX-State_base_rate,"Hardware purchase, in-state vendor"
INV-1042,42,US-TX,State base rate,company,194111.98,,US-TX-State_base_rate,"Hardware purchase, in-state vendor"
INV-1043,43,EU-DE,Standard,company,201358.93,EU-DE-Standard,EU-DE-Standard,"Consulting services, intra-EU B2B (reverse charge candidate)"
INV-1044,44,EU-DE,Standard,company,100590.61,EU-DE-Standard,EU-DE-Standard,"Consulting services, intra-EU B2B (reverse charge candidate)"
INV-1045,45,EU-DE,Standard,company,17014.06,EU-NL-Standard,EU-DE-Standard,"Consulting services, intra-EU B2B (reverse charge candidate)"
INV-1046,46,EU-FR,Standard,company,53550.32,EU-FR-Standard,EU-FR-Standard,Domestic French vendor — event services
INV-1047,47,EU-FR,Standard,company,125058.2,EU-FR-Standard,EU-FR-Standard,Domestic French vendor — event services
INV-1048,48,EU-FR,Standard,company,221228.45,,EU-FR-Standard,Domestic French vendor — event services
INV-1049,49,EU-LU,Standard,company,66587.6,EU-LU-Standard,EU-LU-Standard,Cross-border digital services vendor
INV-1050,50,EU-LU,Standard,company,62033.56,EU-LU-Standard,EU-LU-Standard,Cross-border digital services vendor
INV-1051,51,EU-LU,Standard,company,140561.35,India-194Q,EU-LU-Standard,Cross-border digital services vendor
INV-1052,52,EU-HU,Standard,company,224506.81,EU-HU-Standard,EU-HU-Standard,Domestic Hungarian vendor — logistics
INV-1053,53,EU-HU,Standard,company,100150.43,EU-HU-Standard,EU-HU-Standard,Domestic Hungarian vendor — logistics
INV-1054,54,EU-HU,Standard,company,55220.53,India-194C,EU-HU-Standard,Domestic Hungarian vendor — logistics
INV-1055,55,EU-IE,Standard,company,23181.9,EU-IE-Standard,EU-IE-Standard,Domestic Irish vendor — office lease
INV-1056,56,EU-IE,Standard,company,12255.54,EU-IE-Standard,EU-IE-Standard,Domestic Irish vendor — office lease
INV-1057,57,EU-IE,Standard,company,27857.46,India-194C,EU-IE-Standard,Domestic Irish vendor — office lease
INV-1058,58,EU-NL,Standard,company,149304.05,EU-NL-Standard,EU-NL-Standard,Domestic Dutch vendor — software licence
INV-1059,59,EU-NL,Standard,company,96499.44,EU-NL-Standard,EU-NL-Standard,Domestic Dutch vendor — software licence
INV-1060,60,EU-NL,Standard,company,149174.16,EU-DE-Standard,EU-NL-Standard,Domestic Dutch vendor — software licence
