invoice_id,line_id,jurisdiction,category,counterparty_type,amount,vendor_master_tax_code,correct_tax_code,note,derived_rate_pct,status,reason
INV-1033,33,US-CA,State base rate,company,95341.49,EU-FR-Standard,US-CA-State_base_rate,SaaS subscription — nexus established,7.25,EXCEPTION,Vendor master code 'EU-FR-Standard' does not match derived code 'US-CA-State_base_rate' — likely stale code carried over from a different jurisdiction/category
INV-1036,36,US-NY,State base rate,company,167708.71,,US-NY-State_base_rate,Office equipment purchase,4.0,EXCEPTION,Vendor master tax code is blank — stale/never-set code
INV-1039,39,US-IL,State base rate,company,115833.92,,US-IL-State_base_rate,Marketing services vendor,6.25,EXCEPTION,Vendor master tax code is blank — stale/never-set code
INV-1040,40,US-TX,State base rate,company,171311.26,US-TX-State_base_rate,US-TX-State_base_rate,"Hardware purchase, in-state vendor",6.25,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1041,41,US-TX,State base rate,company,210791.55,US-TX-State_base_rate,US-TX-State_base_rate,"Hardware purchase, in-state vendor",6.25,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1042,42,US-TX,State base rate,company,194111.98,,US-TX-State_base_rate,"Hardware purchase, in-state vendor",6.25,EXCEPTION,Vendor master tax code is blank — stale/never-set code
INV-1045,45,EU-DE,Standard,company,17014.06,EU-NL-Standard,EU-DE-Standard,"Consulting services, intra-EU B2B (reverse charge candidate)",19,EXCEPTION,Vendor master code 'EU-NL-Standard' does not match derived code 'EU-DE-Standard' — likely stale code carried over from a different jurisdiction/category
INV-1048,48,EU-FR,Standard,company,221228.45,,EU-FR-Standard,Domestic French vendor — event services,20,EXCEPTION,Vendor master tax code is blank — stale/never-set code
INV-1051,51,EU-LU,Standard,company,140561.35,India-194Q,EU-LU-Standard,Cross-border digital services vendor,17,EXCEPTION,Vendor master code 'India-194Q' does not match derived code 'EU-LU-Standard' — likely stale code carried over from a different jurisdiction/category
INV-1054,54,EU-HU,Standard,company,55220.53,India-194C,EU-HU-Standard,Domestic Hungarian vendor — logistics,27,EXCEPTION,Vendor master code 'India-194C' does not match derived code 'EU-HU-Standard' — likely stale code carried over from a different jurisdiction/category
INV-1055,55,EU-IE,Standard,company,23181.9,EU-IE-Standard,EU-IE-Standard,Domestic Irish vendor — office lease,23,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1056,56,EU-IE,Standard,company,12255.54,EU-IE-Standard,EU-IE-Standard,Domestic Irish vendor — office lease,23,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1057,57,EU-IE,Standard,company,27857.46,India-194C,EU-IE-Standard,Domestic Irish vendor — office lease,23,EXCEPTION,Vendor master code 'India-194C' does not match derived code 'EU-IE-Standard' — likely stale code carried over from a different jurisdiction/category
INV-1058,58,EU-NL,Standard,company,149304.05,EU-NL-Standard,EU-NL-Standard,Domestic Dutch vendor — software licence,21,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1059,59,EU-NL,Standard,company,96499.44,EU-NL-Standard,EU-NL-Standard,Domestic Dutch vendor — software licence,21,OK — VERIFY RATE,"Rate is a stable known fact, not source-confirmed this session; verify before filing"
INV-1060,60,EU-NL,Standard,company,149174.16,EU-DE-Standard,EU-NL-Standard,Domestic Dutch vendor — software licence,21,EXCEPTION,Vendor master code 'EU-DE-Standard' does not match derived code 'EU-NL-Standard' — likely stale code carried over from a different jurisdiction/category
